Datum;Abfluss [m³/s];day;month;year;Hydro_Jahr;Jahreszeit;Monat;NQ;MNQ;MQ;MHQ;HQ
1951-05-30 00:00:00;3,318;30;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-05-31 00:00:00;2,96;31;5;1951;1951;Fruehling;5;0,62;1,34;2,7;9,21;12,71
1951-06-01 00:00:00;2,723;1;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-02 00:00:00;2,525;2;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-03 00:00:00;2,15;3;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-04 00:00:00;2,414;4;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-05 00:00:00;2,495;5;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-06 00:00:00;2,418;6;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-07 00:00:00;2,35;7;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-08 00:00:00;2,299;8;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-09 00:00:00;2,174;9;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-10 00:00:00;2,018;10;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-11 00:00:00;2,027;11;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-12 00:00:00;2,696;12;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-13 00:00:00;2,633;13;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-14 00:00:00;2,191;14;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-15 00:00:00;2,198;15;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-16 00:00:00;2,079;16;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-17 00:00:00;2,191;17;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-18 00:00:00;2,161;18;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-19 00:00:00;2,516;19;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-20 00:00:00;2,223;20;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-21 00:00:00;2,096;21;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-22 00:00:00;2,154;22;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-23 00:00:00;2,198;23;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-24 00:00:00;1,832;24;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-25 00:00:00;2,033;25;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-26 00:00:00;2,325;26;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-27 00:00:00;2,86;27;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-28 00:00:00;2,242;28;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-29 00:00:00;2,122;29;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-06-30 00:00:00;1,944;30;6;1951;1951;Sommer;6;0,62;1,34;2,7;9,21;12,71
1951-07-01 00:00:00;1,643;1;7;1951;1951;Sommer;7;0,62;1,34;2,7;9,21;12,71
1951-07-02 00:00:00;1,763;2;7;1951;1951;Sommer;7;0,62;1,34;2,7;9,21;12,71
1951-07-03 00:00:00;1,922;3;7;1951;1951;Sommer;7;0,62;1,34;2,7;9,21;12,71
1951-07-04 00:00:00;1,97;4;7;1951;1951;Sommer;7;0,62;1,34;2,7;9,21;12,71
1951-07-05 00:00:00;1,976;5;7;1951;1951;Sommer;7;0,62;1,34;2,7;9,21;12,71
1951-07-06 00:00:00;1,941;6;7;1951;1951;Sommer;7;0,62;1,34;2,7;9,21;12,71
1951-07-07 00:00:00;1,774;7;7;1951;1951;Sommer;7;0,62;1,34;2,7;9,21;12,71
1951-07-08 00:00:00;1,519;8;7;1951;1951;Sommer;7;0,62;1,34;2,7;9,21;12,71
