,Jahr,MO_TT,MO_TX,MO_TN,MO_RR,MO_TT_RCP8.5_Minimum,MO_TT_RCP8.5_Median,MO_TT_RCP8.5_Maximum,MO_TT_RCP4.5_Minimum,MO_TT_RCP4.5_Median,MO_TT_RCP4.5_Maximum,MO_TT_RCP2.6_Minimum,MO_TT_RCP2.6_Median,MO_TT_RCP2.6_Maximum
98,2065.0,,,,,11.651515151515152,12.393939393939394,13.648484848484848,10.954545454545455,11.654545454545454,12.754545454545454,10.3,11.157575757575756,11.815151515151515
99,2066.0,,,,,11.690909090909091,12.436363636363636,13.70909090909091,10.972727272727273,11.672727272727274,12.772727272727273,10.3,11.154545454545454,11.809090909090909
100,2067.0,,,,,11.73030303030303,12.478787878787879,13.76969696969697,10.99090909090909,11.690909090909091,12.790909090909091,10.3,11.15151515151515,11.803030303030303
101,2068.0,,,,,11.76969696969697,12.521212121212121,13.830303030303032,11.00909090909091,11.709090909090909,12.809090909090909,10.3,11.148484848484848,11.796969696969697
102,2069.0,,,,,11.809090909090909,12.563636363636363,13.89090909090909,11.027272727272727,11.727272727272727,12.827272727272726,10.3,11.145454545454545,11.790909090909091
103,2070.0,,,,,11.848484848484848,12.606060606060606,13.951515151515153,11.045454545454545,11.745454545454546,12.845454545454546,10.3,11.142424242424243,11.784848484848485
104,2071.0,,,,,11.887878787878789,12.648484848484848,14.012121212121214,11.063636363636364,11.763636363636364,12.863636363636363,10.3,11.139393939393939,11.77878787878788
105,2072.0,,,,,11.927272727272728,12.690909090909091,14.072727272727274,11.081818181818182,11.781818181818181,12.881818181818181,10.3,11.136363636363637,11.772727272727272
106,2073.0,,,,,11.966666666666667,12.733333333333333,14.133333333333335,11.1,11.8,12.9,10.3,11.133333333333333,11.766666666666666
107,2074.0,,,,,12.006060606060606,12.775757575757575,14.193939393939395,11.118181818181819,11.818181818181818,12.918181818181818,10.3,11.130303030303029,11.76060606060606
108,2075.0,,,,,12.045454545454545,12.818181818181818,14.254545454545456,11.136363636363637,11.836363636363636,12.936363636363636,10.3,11.127272727272727,11.754545454545454
109,2076.0,,,,,12.084848484848486,12.86060606060606,14.315151515151516,11.154545454545454,11.854545454545455,12.954545454545455,10.3,11.124242424242423,11.748484848484848
110,2077.0,,,,,12.124242424242425,12.903030303030302,14.375757575757577,11.172727272727274,11.872727272727273,12.972727272727273,10.3,11.121212121212121,11.742424242424242
111,2078.0,,,,,12.163636363636364,12.945454545454545,14.436363636363637,11.190909090909091,11.89090909090909,12.99090909090909,10.3,11.118181818181817,11.736363636363636
112,2079.0,,,,,12.203030303030303,12.987878787878788,14.496969696969698,11.209090909090909,11.90909090909091,13.009090909090908,10.3,11.115151515151515,11.73030303030303
113,2080.0,,,,,12.242424242424242,13.03030303030303,14.557575757575759,11.227272727272728,11.927272727272728,13.027272727272727,10.3,11.112121212121211,11.724242424242423
114,2081.0,,,,,12.281818181818181,13.072727272727272,14.618181818181819,11.245454545454546,11.945454545454545,13.045454545454545,10.3,11.10909090909091,11.718181818181817
115,2082.0,,,,,12.321212121212122,13.115151515151513,14.67878787878788,11.263636363636364,11.963636363636363,13.063636363636363,10.3,11.106060606060606,11.712121212121211
116,2083.0,,,,,12.360606060606061,13.157575757575756,14.73939393939394,11.281818181818183,11.981818181818182,13.081818181818182,10.3,11.103030303030303,11.706060606060605
117,2084.0,,,,,12.4,13.2,14.8,11.3,12.0,13.1,10.3,11.1,11.7
